species,family,dayTemp,nightTemp,stemLen1,leafNum1,stemLen2,leafNum2,rgrStem,rgrLeaf
bic,252,35,20,0.7,4,2.9,4,0.448979592,0
bic,252,40,25,0.9,2,0.9,2,0,0
bic,252,40,25,0.8,4,2.8,6,0.357142857,0.071428571
bic,252,45,30,0.5,2,0.6,4,0.028571429,0.142857143
bic,252,50,35,1.4,4,1.4,4,0,0
bic,253,15,0,0.8,2,0.8,2,0,0
bic,253,15,0,0.7,2,0.9,2,0.040816327,0
bic,253,20,5,0.6,2,0.6,2,0,0
bic,253,20,5,1,2,1.1,4,0.014285714,0.142857143
bic,253,25,10,1.3,4,2.9,6,0.175824176,0.071428571
bic,253,25,10,0.9,2,1.1,4,0.031746032,0.142857143
bic,253,30,15,0.8,2,0.8,4,0,0.142857143
bic,253,30,15,0.4,2,0.5,2,0.035714286,0
bic,253,35,20,0.5,2,0.6,2,0.028571429,0
bic,253,35,20,0.1,2,0.2,2,0.142857143,0
bic,253,40,25,1.2,4,3.1,4,0.226190476,0
bic,253,40,25,0.6,2,0.8,4,0.047619048,0.142857143
bic,253,45,30,0.5,2,0.5,2,0,0
bic,253,50,35,1,2,0,0,0,0
bic,253,50,35,1.3,4,1.6,6,0.032967033,0.071428571
bic,254,15,0,0.4,2,0.5,2,0.035714286,0
bic,254,15,0,0.8,2,0.9,4,0.017857143,0.142857143
bic,254,20,5,0.9,4,1.4,6,0.079365079,0.071428571
bic,254,20,5,1.1,4,1.8,4,0.090909091,0
bic,254,25,10,1,2,1,4,0,0.142857143
bic,254,25,10,0.4,2,0.4,2,0,0
bic,254,30,15,0.6,2,0.9,4,0.071428571,0.142857143
bic,254,35,20,0.7,2,1.1,2,0.081632653,0
bic,254,35,20,0.6,2,0.7,4,0.023809524,0.142857143
bic,254,40,25,1.1,4,2.8,4,0.220779221,0
bic,254,40,25,1,4,2.5,4,0.214285714,0
bic,254,50,35,0.3,2,0,0,0,0
bic,254,50,35,0.4,2,0.5,2,0.035714286,0
bic,255,15,0,0.7,2,0.8,2,0.020408163,0
bic,255,15,0,0.6,4,0.9,4,0.071428571,0
bic,255,20,5,1.2,4,2.2,6,0.119047619,0.071428571
bic,255,20,5,0.6,2,0.6,2,0,0
bic,255,25,10,0.7,2,1.1,4,0.081632653,0.142857143
bic,255,40,25,0.8,4,2.5,4,0.303571429,0
bic,255,40,25,0.9,2,2.5,4,0.253968254,0.142857143
bic,255,45,30,0.4,2,0.5,2,0.035714286,0
bic,255,45,30,0.7,2,1,4,0.06122449,0.142857143
bic,255,50,35,0.7,4,0.9,4,0.040816327,0
bic,255,50,35,0.7,2,0.7,2,0,0
bic,256,15,0,1.5,6,1.8,6,0.028571429,0
bic,256,15,0,2.2,6,2.6,6,0.025974026,0
bic,256,20,5,1.6,6,2.5,8,0.080357143,0.047619048
bic,256,20,5,1.2,4,1.6,6,0.047619048,0.071428571
bic,256,25,10,1,4,1.5,6,0.071428571,0.071428571
bic,256,25,10,1.5,6,4.1,6,0.247619048,0
bic,256,30,15,0.5,2,0.9,2,0.114285714,0
bic,256,30,15,1,4,2.8,6,0.257142857,0.071428571
bic,256,35,20,1,4,2.9,4,0.271428571,0
bic,256,40,25,0.9,4,2.6,4,0.26984127,0
bic,256,40,25,1.2,4,4.8,6,0.428571429,0.071428571
bic,256,45,30,1,2,1.6,4,0.085714286,0.142857143
