"","species","dayTemp","family","n"
"919","flo",50,172,2
"920","flo",50,175,2
"921","flo",50,177,2
"922","flo",50,181,2
"923","flo",50,183,2
"924","flo",50,184,1
"925","flo",50,188,2
"926","flo",50,191,2
"927","gut",15,272,2
"928","gut",15,273,2
"929","gut",15,275,2
"930","gut",15,277,2
"931","gut",15,279,2
"932","gut",15,281,2
"933","gut",15,283,2
"934","gut",15,284,2
"935","gut",15,289,2
"936","gut",15,291,2
"937","gut",15,292,2
"938","gut",20,272,2
"939","gut",20,273,2
"940","gut",20,275,2
"941","gut",20,277,2
"942","gut",20,279,2
"943","gut",20,281,2
"944","gut",20,283,2
"945","gut",20,284,2
"946","gut",20,289,2
"947","gut",20,291,2
"948","gut",20,292,2
"949","gut",25,272,2
"950","gut",25,273,2
"951","gut",25,275,2
"952","gut",25,277,2
"953","gut",25,279,2
"954","gut",25,281,2
"955","gut",25,283,2
"956","gut",25,284,2
"957","gut",25,289,2
"958","gut",25,291,2
"959","gut",25,292,2
"960","gut",30,272,2
"961","gut",30,273,2
"962","gut",30,275,2
"963","gut",30,277,2
"964","gut",30,279,2
"965","gut",30,281,2
"966","gut",30,283,2
"967","gut",30,284,2
"968","gut",30,289,2
"969","gut",30,291,2
"970","gut",30,292,2
"971","gut",35,272,2
"972","gut",35,273,2
"973","gut",35,275,1
"974","gut",35,277,2
"975","gut",35,279,2
"976","gut",35,281,2
"977","gut",35,283,2
"978","gut",35,284,2
"979","gut",35,289,2
"980","gut",35,291,2
"981","gut",35,292,2
"982","gut",40,272,2
"983","gut",40,273,2
"984","gut",40,275,2
"985","gut",40,277,2
"986","gut",40,279,2
"987","gut",40,281,2
"988","gut",40,283,2
"989","gut",40,284,2
"990","gut",40,289,2
"991","gut",40,291,2
"992","gut",40,292,2
"993","gut",45,272,2
"994","gut",45,273,2
"995","gut",45,275,2
"996","gut",45,277,2
"997","gut",45,279,2
"998","gut",45,281,2
"999","gut",45,283,2
"1000","gut",45,284,2
"1001","gut",45,289,2
"1002","gut",45,291,2
"1003","gut",45,292,2
"1004","gut",50,272,2
"1005","gut",50,273,2
"1006","gut",50,275,2
"1007","gut",50,277,2
"1008","gut",50,279,2
"1009","gut",50,281,2
"1010","gut",50,283,2
"1011","gut",50,284,2
"1012","gut",50,289,2
"1013","gut",50,291,2
"1014","gut",50,292,2
"1015","lac",15,293,2
"1016","lac",15,295,2
"1017","lac",15,296,2
"1018","lac",15,297,2
"1019","lac",15,300,1
"1020","lac",15,301,1
"1021","lac",15,303,2
"1022","lac",15,304,1
"1023","lac",15,305,2
"1024","lac",15,306,2
"1025","lac",20,293,1
"1026","lac",20,295,1
"1027","lac",20,296,2
"1028","lac",20,297,1
"1029","lac",20,298,1
"1030","lac",20,299,2
"1031","lac",20,300,2
"1032","lac",20,303,1
"1033","lac",20,304,2
"1034","lac",20,305,2
"1035","lac",20,306,2
"1036","lac",25,293,1
"1037","lac",25,295,1
"1038","lac",25,296,2
"1039","lac",25,297,2
"1040","lac",25,298,1
"1041","lac",25,299,1
"1042","lac",25,300,2
"1043","lac",25,303,1
"1044","lac",25,304,1
"1045","lac",25,305,2
"1046","lac",25,306,2
"1047","lac",30,293,2
"1048","lac",30,294,2
"1049","lac",30,295,2
"1050","lac",30,296,2
"1051","lac",30,297,2
"1052","lac",30,298,2
"1053","lac",30,299,2
"1054","lac",30,300,2
"1055","lac",30,301,1
"1056","lac",30,303,2
"1057","lac",30,304,2
"1058","lac",30,305,2
"1059","lac",30,306,2
"1060","lac",35,293,2
"1061","lac",35,294,2
"1062","lac",35,295,2
"1063","lac",35,296,2
"1064","lac",35,297,2
"1065","lac",35,298,2
"1066","lac",35,299,1
"1067","lac",35,300,2
"1068","lac",35,301,1
"1069","lac",35,302,1
"1070","lac",35,303,2
"1071","lac",35,304,1
"1072","lac",35,305,2
"1073","lac",35,306,2
"1074","lac",40,293,2
"1075","lac",40,294,2
"1076","lac",40,295,2
"1077","lac",40,296,2
"1078","lac",40,297,2
"1079","lac",40,298,2
"1080","lac",40,299,2
