"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[614]",-2.48,0.01,0.57,-3.85,-2.79,-2.4,-2.09,-1.61,11721.13,1
"log_lik[615]",-0.28,0,0.14,-0.62,-0.36,-0.26,-0.18,-0.09,11069.96,1
"log_lik[616]",-0.28,0,0.14,-0.62,-0.36,-0.26,-0.18,-0.09,11069.96,1
"log_lik[617]",-0.28,0,0.14,-0.62,-0.36,-0.26,-0.18,-0.09,11069.96,1
"log_lik[618]",-0.04,0,0.05,-0.17,-0.06,-0.03,-0.01,0.03,8722.31,1
"log_lik[619]",-0.04,0,0.05,-0.17,-0.06,-0.03,-0.01,0.03,8722.31,1
"log_lik[620]",-0.04,0,0.05,-0.17,-0.06,-0.03,-0.01,0.03,8722.31,1
"log_lik[621]",-0.04,0,0.05,-0.17,-0.06,-0.03,-0.01,0.03,8722.31,1
"log_lik[622]",-2.99,0.01,0.65,-4.5,-3.35,-2.9,-2.53,-1.97,13072.29,1
"log_lik[623]",-0.18,0,0.1,-0.41,-0.23,-0.16,-0.11,-0.05,11208.06,1
"log_lik[624]",-0.18,0,0.1,-0.41,-0.23,-0.16,-0.11,-0.05,11208.06,1
"log_lik[625]",-0.18,0,0.1,-0.41,-0.23,-0.16,-0.11,-0.05,11208.06,1
"log_lik[626]",-0.36,0,0.15,-0.7,-0.44,-0.33,-0.25,-0.13,12159.73,1
"log_lik[627]",-0.36,0,0.15,-0.7,-0.44,-0.33,-0.25,-0.13,12159.73,1
"log_lik[628]",-0.36,0,0.15,-0.7,-0.44,-0.33,-0.25,-0.13,12159.73,1
"log_lik[629]",-0.58,0,0.22,-1.1,-0.71,-0.55,-0.42,-0.25,12293.55,1
"log_lik[630]",-2.31,0,0.35,-3.06,-2.53,-2.28,-2.06,-1.7,12600.91,1
"log_lik[631]",-2.31,0,0.35,-3.06,-2.53,-2.28,-2.06,-1.7,12600.91,1
"log_lik[632]",-2.31,0,0.35,-3.06,-2.53,-2.28,-2.06,-1.7,12600.91,1
"log_lik[633]",-0.76,0,0.29,-1.41,-0.93,-0.73,-0.56,-0.31,12148.6,1
"log_lik[634]",-0.76,0,0.29,-1.41,-0.93,-0.73,-0.56,-0.31,12148.6,1
"log_lik[635]",-2.55,0,0.41,-3.47,-2.8,-2.51,-2.26,-1.85,13750.49,1
"log_lik[636]",-4.64,0.01,1.22,-7.55,-5.27,-4.42,-3.76,-2.94,13510.43,1
"log_lik[637]",-0.75,0,0.28,-1.41,-0.91,-0.71,-0.55,-0.31,12057.77,1
"log_lik[638]",-0.75,0,0.28,-1.41,-0.91,-0.71,-0.55,-0.31,12057.77,1
"log_lik[639]",-0.75,0,0.28,-1.41,-0.91,-0.71,-0.55,-0.31,12057.77,1
"log_lik[640]",-2.55,0,0.42,-3.47,-2.8,-2.51,-2.25,-1.84,13608.23,1
"log_lik[641]",-2.36,0,0.37,-3.15,-2.59,-2.33,-2.1,-1.72,11506.04,1
"log_lik[642]",-2.46,0,0.38,-3.28,-2.69,-2.44,-2.2,-1.81,13573.2,1
"log_lik[643]",-0.52,0,0.2,-1.01,-0.63,-0.49,-0.37,-0.21,11690.86,1
"log_lik[644]",-0.52,0,0.2,-1.01,-0.63,-0.49,-0.37,-0.21,11690.86,1
"log_lik[645]",-3.39,0.01,0.9,-5.6,-3.85,-3.23,-2.76,-2.14,12219.15,1
"log_lik[646]",-0.24,0,0.12,-0.52,-0.3,-0.22,-0.16,-0.07,10314.2,1
"log_lik[647]",-0.24,0,0.12,-0.52,-0.3,-0.22,-0.16,-0.07,10314.2,1
"log_lik[648]",-0.24,0,0.12,-0.52,-0.3,-0.22,-0.16,-0.07,10314.2,1
"log_lik[649]",-0.06,0,0.05,-0.19,-0.08,-0.04,-0.02,0,9580.05,1
"log_lik[650]",-0.06,0,0.05,-0.19,-0.08,-0.04,-0.02,0,9580.05,1
"log_lik[651]",-0.06,0,0.05,-0.19,-0.08,-0.04,-0.02,0,9580.05,1
"log_lik[652]",-0.06,0,0.05,-0.19,-0.08,-0.04,-0.02,0,9580.05,1
"log_lik[653]",-2.97,0.01,0.7,-4.55,-3.36,-2.87,-2.47,-1.86,12257.83,1
"log_lik[654]",-0.34,0,0.13,-0.64,-0.42,-0.32,-0.24,-0.14,11569.65,1
"log_lik[655]",-2.97,0.01,0.7,-4.55,-3.36,-2.87,-2.47,-1.86,12257.83,1
