"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta_1[5]",0.97,0.02,0.97,-0.72,0.28,0.9,1.59,3.05,2919.16,1
"beta_1[6]",1.06,0.02,1.01,-0.74,0.36,1,1.71,3.23,2874.97,1
"beta_1[7]",1.39,0.02,0.96,-0.4,0.72,1.36,2.02,3.36,2805.12,1
"beta_1[8]",0.8,0.02,1.06,-1.16,0.06,0.75,1.49,3,2752.56,1
"beta_1[9]",0.68,0.02,1.09,-1.2,-0.09,0.57,1.36,3.06,2409.63,1
"beta_1[10]",1.36,0.02,0.93,-0.29,0.71,1.3,1.96,3.32,2936.59,1
"beta_1[11]",1.3,0.02,0.99,-0.51,0.6,1.25,1.96,3.32,2980.51,1
"beta_1[12]",0.91,0.02,1.05,-0.96,0.17,0.86,1.59,3.13,2766.6,1
"beta_1[13]",1.19,0.02,1.03,-0.68,0.46,1.13,1.86,3.32,3205.36,1
"beta_1[14]",0.44,0.02,1.02,-1.32,-0.27,0.34,1.05,2.77,2562.39,1
"beta_1[15]",1.35,0.02,0.99,-0.49,0.66,1.31,2.01,3.37,3106.49,1
"beta_1[16]",1.17,0.02,1.02,-0.71,0.47,1.11,1.85,3.28,3021.87,1
"beta_1[17]",0.32,0.02,1.03,-1.33,-0.4,0.16,0.87,2.82,2215.41,1
"beta_1[18]",1.09,0.02,1.05,-0.81,0.35,1.05,1.79,3.25,3249.15,1
"x_min[1]",-21.06,0.02,1.26,-23.54,-21.9,-21.07,-20.21,-18.61,2590.94,1
"x_min[2]",-21.41,0.02,1.25,-23.85,-22.24,-21.43,-20.58,-18.9,2638.18,1
"x_min[3]",-21.82,0.02,1.14,-24.09,-22.59,-21.82,-21.04,-19.63,3244.76,1
"x_min[4]",-21.2,0.02,1.24,-23.68,-22.02,-21.19,-20.36,-18.8,2892.47,1
"x_min[5]",-21.14,0.02,1.24,-23.59,-21.97,-21.13,-20.29,-18.71,2796.88,1
"x_min[6]",-21.24,0.02,1.23,-23.72,-22.06,-21.21,-20.39,-18.87,2803.58,1
"x_min[7]",-21.82,0.02,1.07,-24.03,-22.51,-21.78,-21.08,-19.83,2999.27,1
"x_min[8]",-20.98,0.02,1.24,-23.41,-21.82,-20.98,-20.14,-18.58,2741.62,1
"x_min[9]",-21.2,0.02,1.22,-23.63,-22.01,-21.18,-20.36,-18.88,2539.08,1
"x_min[10]",-21.11,0.02,1.25,-23.57,-21.95,-21.1,-20.23,-18.68,2871.97,1
"x_min[11]",-21.94,0.02,1.07,-24.09,-22.66,-21.93,-21.21,-19.91,2989.23,1
"x_min[12]",-21.18,0.02,1.23,-23.67,-22.02,-21.17,-20.33,-18.89,2590.3,1
"x_min[13]",-21.19,0.02,1.23,-23.59,-22.02,-21.17,-20.35,-18.79,2593.42,1
