"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[65]",0,0,0.01,0,0,0,0,0.01,6468.34,1
"mu[66]",0.09,0,0.09,0,0.03,0.07,0.13,0.32,5959.37,1
"mu[67]",0.09,0,0.09,0,0.03,0.07,0.13,0.32,5959.37,1
"mu[68]",0.53,0,0.28,0.1,0.32,0.5,0.7,1.16,7008,1
"mu[69]",0.53,0,0.28,0.1,0.32,0.5,0.7,1.16,7008,1
"mu[70]",1.52,0.01,0.52,0.57,1.16,1.5,1.85,2.59,8576.15,1
"mu[71]",1.52,0.01,0.52,0.57,1.16,1.5,1.85,2.59,8576.15,1
"mu[72]",2.92,0.01,0.75,1.56,2.42,2.87,3.38,4.54,9860.42,1
"mu[73]",2.92,0.01,0.75,1.56,2.42,2.87,3.38,4.54,9860.42,1
"mu[74]",3.77,0.01,0.9,2.24,3.15,3.68,4.28,5.77,9935.69,1
"mu[75]",3.77,0.01,0.9,2.24,3.15,3.68,4.28,5.77,9935.69,1
"mu[76]",2.45,0.01,0.7,1.32,1.97,2.37,2.82,4.02,10943.56,1
"mu[77]",2.45,0.01,0.7,1.32,1.97,2.37,2.82,4.02,10943.56,1
"mu[78]",0.15,0,0.19,0,0.01,0.08,0.21,0.65,8375.91,1
"mu[79]",0.15,0,0.19,0,0.01,0.08,0.21,0.65,8375.91,1
"mu[80]",0,0,0,0,0,0,0,0,6526.14,1
"mu[81]",0,0,0,0,0,0,0,0,6526.14,1
"mu[82]",0.01,0,0.02,0,0,0.01,0.01,0.06,5417.3,1
"mu[83]",0.01,0,0.02,0,0,0.01,0.01,0.06,5417.3,1
"mu[84]",0.1,0,0.08,0.02,0.05,0.08,0.13,0.31,7411.14,1
"mu[85]",0.1,0,0.08,0.02,0.05,0.08,0.13,0.31,7411.14,1
"mu[86]",0.37,0,0.17,0.13,0.25,0.35,0.46,0.78,10934.18,1
"mu[87]",0.37,0,0.17,0.13,0.25,0.35,0.46,0.78,10934.18,1
"mu[88]",0.89,0,0.26,0.45,0.72,0.87,1.04,1.47,13011.19,1
"mu[89]",0.89,0,0.26,0.45,0.72,0.87,1.04,1.47,13011.19,1
"mu[90]",1.33,0,0.35,0.73,1.09,1.3,1.53,2.11,10494.85,1
"mu[91]",1.33,0,0.35,0.73,1.09,1.3,1.53,2.11,10494.85,1
"mu[92]",0.85,0,0.35,0.32,0.61,0.8,1.03,1.67,10783.92,1
"mu[93]",0.85,0,0.35,0.32,0.61,0.8,1.03,1.67,10783.92,1
"mu[94]",0.04,0,0.08,0,0,0.01,0.05,0.27,6932.34,1
"mu[95]",0.04,0,0.08,0,0,0.01,0.05,0.27,6932.34,1
"mu[96]",0,0,0,0,0,0,0,0.01,6257.19,1
"mu[97]",0,0,0,0,0,0,0,0.01,6257.19,1
"mu[98]",0.02,0,0.04,0,0,0.01,0.03,0.15,4621.62,1
"mu[99]",0.02,0,0.04,0,0,0.01,0.03,0.15,4621.62,1
"mu[100]",0.11,0,0.12,0,0.03,0.07,0.15,0.43,6493.29,1
"mu[101]",0.11,0,0.12,0,0.03,0.07,0.15,0.43,6493.29,1
"mu[102]",0.29,0,0.21,0.03,0.14,0.25,0.39,0.79,9394.83,1
"mu[103]",0.29,0,0.21,0.03,0.14,0.25,0.39,0.79,9394.83,1
"mu[104]",0.55,0,0.28,0.1,0.34,0.51,0.71,1.19,11025.8,1
"mu[105]",0.55,0,0.28,0.1,0.34,0.51,0.71,1.19,11025.8,1
"mu[106]",0.73,0,0.36,0.16,0.47,0.69,0.93,1.56,9305.55,1
"mu[107]",0.73,0,0.36,0.16,0.47,0.69,0.93,1.56,9305.55,1
"mu[108]",0.57,0.01,0.42,0.05,0.24,0.47,0.8,1.6,6755.51,1
