"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"stretch[2]",0.55,0,0.14,0.34,0.46,0.53,0.6,0.85,3472.15,1
"stretch[3]",0.59,0,0.18,0.28,0.47,0.57,0.69,0.99,6610.98,1
"stretch[4]",0.68,0,0.16,0.38,0.57,0.67,0.77,1.02,8898.81,1
"stretch[5]",1.7,0,0.3,1.14,1.5,1.69,1.89,2.3,7791.45,1
"stretch[6]",1.55,0,0.26,1.06,1.38,1.53,1.7,2.1,7537.22,1
"stretch[7]",1.46,0,0.29,0.95,1.26,1.44,1.64,2.06,8711.88,1
"stretch[8]",0.68,0,0.22,0.28,0.54,0.67,0.81,1.17,8972,1
"stretch[9]",1.09,0,0.37,0.42,0.83,1.07,1.32,1.91,8045.19,1
"stretch[10]",1.39,0,0.3,0.86,1.19,1.37,1.58,2.02,9390.9,1
"stretch[11]",1.65,0,0.41,0.92,1.38,1.63,1.9,2.52,8775.62,1
"stretch[12]",1.09,0,0.27,0.62,0.9,1.07,1.25,1.68,8658.43,1
"stretch[13]",1.38,0,0.32,0.81,1.16,1.35,1.56,2.09,7578.34,1
"min_max[1,1]",-18.91,0.03,1.33,-21.52,-19.8,-18.9,-18.01,-16.29,2373.36,1
"min_max[1,2]",17.38,0.01,1.07,15.31,16.69,17.35,18.06,19.55,6336.65,1
"min_max[2,1]",-18.91,0.03,1.33,-21.55,-19.81,-18.91,-18.01,-16.31,2417.65,1
"min_max[2,2]",17.11,0.02,1.25,14.7,16.24,17.1,17.95,19.59,6677.19,1
"min_max[3,1]",-18.95,0.03,1.34,-21.56,-19.85,-18.95,-18.05,-16.33,2362.9,1
"min_max[3,2]",17.63,0.01,1.16,15.36,16.84,17.63,18.38,19.98,6480.66,1
"min_max[4,1]",-19.07,0.03,1.34,-21.67,-19.96,-19.06,-18.18,-16.43,2407.4,1
"min_max[4,2]",17.73,0.01,1.14,15.54,16.96,17.71,18.47,20.03,6794.67,1
"min_max[5,1]",-18.99,0.03,1.32,-21.57,-19.88,-18.98,-18.09,-16.42,2639.45,1
"min_max[5,2]",17.96,0.01,1.16,15.59,17.21,18.01,18.73,20.18,6286.7,1
"min_max[6,1]",-19.13,0.03,1.36,-21.82,-20.04,-19.13,-18.19,-16.48,2492.45,1
"min_max[6,2]",17.7,0.01,1.08,15.71,16.96,17.65,18.39,19.96,5868.92,1
"min_max[7,1]",-18.9,0.03,1.34,-21.58,-19.81,-18.9,-17.99,-16.32,2601.56,1
"min_max[7,2]",17.7,0.02,1.23,15.35,16.84,17.7,18.54,20.12,6508.29,1
"min_max[8,1]",-18.94,0.03,1.34,-21.56,-19.86,-18.94,-18.02,-16.33,2280.75,1
"min_max[8,2]",17.75,0.01,1.14,15.57,16.96,17.71,18.51,20.04,6478.06,1
"min_max[9,1]",-18.95,0.03,1.36,-21.63,-19.86,-18.96,-18.03,-16.26,2452.96,1
"min_max[9,2]",17.73,0.01,1.13,15.62,16.95,17.69,18.48,19.99,6451.58,1
"min_max[10,1]",-19.09,0.03,1.32,-21.63,-20,-19.11,-18.19,-16.5,2521.31,1
"min_max[10,2]",17.67,0.01,1.09,15.62,16.93,17.62,18.37,19.9,6169.3,1
"min_max[11,1]",-18.82,0.03,1.36,-21.54,-19.73,-18.81,-17.91,-16.14,2484.65,1
"min_max[11,2]",17.19,0.01,1.2,14.89,16.37,17.2,18,19.56,6648.87,1
"min_max[12,1]",-18.85,0.03,1.34,-21.5,-19.74,-18.86,-17.95,-16.21,2406.59,1
"min_max[12,2]",17.32,0.02,1.31,14.82,16.4,17.31,18.23,19.87,6417.45,1
"min_max[13,1]",-18.94,0.03,1.35,-21.57,-19.85,-18.94,-18.02,-16.25,2447.15,1
"min_max[13,2]",17.73,0.01,1.11,15.61,17,17.7,18.44,19.99,6419.81,1
"nu[1]",6.03,0.01,1.33,3.64,5.09,5.95,6.88,8.85,10546.54,1
"nu[2]",4.03,0.01,0.9,2.46,3.42,3.97,4.59,6.03,8052.13,1
"nu[3]",4,0.01,1.18,2.08,3.18,3.85,4.66,6.8,7563.86,1
"nu[4]",3.41,0.01,0.74,2.05,2.89,3.37,3.89,4.96,8766.94,1
"nu[5]",2.66,0.01,0.6,1.57,2.24,2.63,3.04,3.93,8540.1,1
"nu[6]",3.65,0.01,0.9,2.03,3.01,3.59,4.23,5.56,8307.59,1
"nu[7]",2.49,0.01,0.52,1.54,2.13,2.47,2.83,3.57,8423.81,1
"nu[8]",2.52,0.01,0.55,1.5,2.13,2.5,2.87,3.66,7922.14,1
"nu[9]",1.71,0,0.4,0.98,1.43,1.7,1.97,2.52,7901.34,1
"nu[10]",2.38,0.01,0.53,1.42,2,2.35,2.72,3.5,9136.71,1
"nu[11]",1.95,0.01,0.48,1.09,1.62,1.91,2.25,2.96,8584.8,1
"nu[12]",2.05,0,0.42,1.28,1.76,2.03,2.32,2.91,9558.92,1
"nu[13]",3.28,0.01,0.81,1.83,2.71,3.23,3.81,4.98,9518.02,1
"mu_shape1",3.23,0,0.33,2.59,3.01,3.22,3.46,3.88,4682.5,1
"mu_shape2",3.48,0.01,0.42,2.71,3.19,3.46,3.75,4.36,3611.45,1
"mu_stretch",1.04,0,0.28,0.49,0.86,1.04,1.23,1.59,10509.18,1
"mu_min",-18.89,0.02,0.92,-20.72,-19.51,-18.89,-18.27,-17.07,1390.73,1
"mu_max",17.54,0.01,0.72,16.17,17.04,17.52,18.01,19.02,3717.56,1
"mu_nu",0.72,0,0.15,0.46,0.61,0.71,0.81,1.04,10513.8,1
"mu_beta0",2.88,0.01,0.62,1.72,2.44,2.86,3.28,4.19,2809.85,1
"mu_beta1",1.38,0.01,0.7,0.11,0.88,1.35,1.84,2.81,2604.78,1
"beta_0[1]",3.23,0.01,1.03,1.31,2.5,3.2,3.91,5.32,6320.01,1
"beta_0[2]",3.05,0.01,1.07,1.05,2.32,3.01,3.76,5.25,5748.7,1
"beta_0[3]",2.95,0.01,1.1,0.91,2.18,2.9,3.69,5.22,5578.72,1
"beta_0[4]",3.25,0.01,1.02,1.37,2.55,3.22,3.91,5.38,6153.11,1
"beta_0[5]",3.06,0.01,1.12,0.94,2.29,3.03,3.81,5.32,5726.22,1
"beta_0[6]",3.12,0.01,1.06,1.15,2.38,3.1,3.82,5.3,6010.82,1
"beta_0[7]",3.11,0.01,1.09,1.06,2.36,3.08,3.84,5.34,5991.63,1
"beta_0[8]",3.05,0.01,1.08,1.03,2.31,3.02,3.76,5.26,5623.31,1
"beta_0[9]",2.97,0.01,1.13,0.79,2.2,2.95,3.71,5.25,6131.13,1
"beta_0[10]",3.08,0.01,1.08,0.99,2.33,3.06,3.8,5.23,5988.71,1
"beta_0[11]",3.01,0.01,1.09,0.95,2.25,3,3.75,5.22,6145.06,1
"beta_0[12]",3.22,0.01,1.03,1.31,2.52,3.18,3.91,5.31,5847.86,1
"beta_0[13]",3.15,0.01,1.05,1.16,2.43,3.12,3.84,5.3,6501.04,1
"beta_1[1]",1.53,0.02,1.15,-0.65,0.73,1.49,2.27,3.88,5420.47,1
"beta_1[2]",1.35,0.02,1.24,-1.12,0.5,1.35,2.19,3.73,4421.86,1
"beta_1[3]",1.26,0.02,1.26,-1.15,0.38,1.25,2.1,3.74,5149.1,1
"beta_1[4]",1.54,0.02,1.16,-0.65,0.74,1.52,2.3,3.81,4809.42,1
"beta_1[5]",1.59,0.02,1.07,-0.29,0.84,1.52,2.3,3.82,4597.28,1
"beta_1[6]",1.57,0.02,1.1,-0.4,0.79,1.53,2.3,3.84,5269.54,1
"beta_1[7]",1.52,0.02,1.1,-0.42,0.73,1.46,2.23,3.85,5147.93,1
"beta_1[8]",1.44,0.02,1.18,-0.8,0.62,1.42,2.23,3.8,5035.79,1
"beta_1[9]",1.5,0.02,1.13,-0.56,0.7,1.46,2.26,3.78,5089.27,1
"beta_1[10]",1.52,0.02,1.12,-0.42,0.7,1.46,2.26,3.87,4943.68,1
"beta_1[11]",1.33,0.02,1.23,-0.77,0.38,1.3,2.19,3.82,4579.44,1
"beta_1[12]",1.56,0.02,1.1,-0.44,0.78,1.51,2.29,3.83,5093.55,1
"beta_1[13]",1.52,0.02,1.11,-0.48,0.73,1.46,2.26,3.8,5066.38,1
"x_min[1]",-18.91,0.03,1.33,-21.52,-19.8,-18.9,-18.01,-16.29,2373.36,1
"x_min[2]",-18.91,0.03,1.33,-21.55,-19.81,-18.91,-18.01,-16.31,2417.65,1
"x_min[3]",-18.95,0.03,1.34,-21.56,-19.85,-18.95,-18.05,-16.33,2362.9,1
"x_min[4]",-19.07,0.03,1.34,-21.67,-19.96,-19.06,-18.18,-16.43,2407.4,1
